xi,yi,zi,xo,yo,zo
3.436699345944483639e+02,-1.811874020724890855e+01,1.759935245691271799e+00,3.621633660496294169e+02,-2.417846204989636405e+01,2.000000000000000000e+00
3.448358027125466947e+02,-1.971933054602109081e+01,1.769026148134986931e+00,3.628119663827334875e+02,-2.619852472334686766e+01,2.000000000000000000e+00
3.459173402652339746e+02,-2.137062273470273155e+01,1.777976661833491567e+00,3.633900547135025363e+02,-2.824472257801820518e+01,2.000000000000000000e+00
3.469169142525060465e+02,-2.306946948992122515e+01,1.786784593212642935e+00,3.639006799183798080e+02,-3.031504264730975962e+01,2.000000000000000000e+00
3.478369100174775213e+02,-2.481272523100169280e+01,1.795447748698296486e+00,3.643468908738084338e+02,-3.240747196462109514e+01,2.000000000000000000e+00
3.486797129032628959e+02,-2.659724437726949375e+01,1.803963934716308781e+00,3.647317364562315447e+02,-3.451999756335182212e+01,2.000000000000000000e+00
3.494477082529771224e+02,-2.841988134804979893e+01,1.812330957692535716e+00,3.650582655420922151e+02,-3.665060647690150120e+01,2.000000000000000000e+00
3.501432814097343567e+02,-3.027749056266804573e+01,1.820546624052832740e+00,3.653295270078331214e+02,-3.879728573866965746e+01,2.000000000000000000e+00
3.507688177166494370e+02,-3.216692644044932337e+01,1.828608740223056639e+00,3.655485697298979630e+02,-4.095802238205562418e+01,2.000000000000000000e+00
3.513267025168366331e+02,-3.408504340071903016e+01,1.836515112629064639e+00,3.657184425847294165e+02,-4.313080344045923908e+01,2.000000000000000000e+00
3.518193211534109537e+02,-3.602869586280228731e+01,1.844263547696710415e+00,3.658421944487708402e+02,-4.531361594727992781e+01,2.000000000000000000e+00
3.522490589694865548e+02,-3.799473824602444694e+01,1.851851851851851638e+00,3.659228741984653084e+02,-4.750444693591711598e+01,2.000000000000000000e+00
3.526183013081785020e+02,-3.998002496971064801e+01,1.859277831520343316e+00,3.659635307102557817e+02,-4.970128343977047081e+01,2.000000000000000000e+00
3.529294335126008946e+02,-4.198141045318636344e+01,1.866539293128044008e+00,3.659672128605853345e+02,-5.190211249223963108e+01,2.000000000000000000e+00
3.531848409258686843e+02,-4.399574911577668956e+01,1.873634043100806945e+00,3.659369695258973252e+02,-5.410492112672385900e+01,2.000000000000000000e+00
3.533869088910961409e+02,-4.601989537680701403e+01,1.880559887864489355e+00,3.658758495826343733e+02,-5.630769637662302074e+01,2.000000000000000000e+00
3.535380227513981026e+02,-4.805070365560242607e+01,1.887314633844948020e+00,3.657869019072402352e+02,-5.850842527533624349e+01,2.000000000000000000e+00
3.536405678498890097e+02,-5.008502837148836306e+01,1.893896087468037948e+00,3.656727538998591740e+02,-6.070527498333580496e+01,2.000000000000000000e+00
