x_in,y_in,z_in,x_out,y_out,z_out
68.804914,120.119767,0.000000,71.414637,130.774675,0.000000
68.186676,120.918571,0.000000,70.495395,131.411098,0.000000
67.448106,121.607141,0.000000,69.526329,131.969038,0.000000
66.612877,122.175384,0.000000,68.516723,132.449724,0.000000
65.707332,122.624006,0.000000,67.474413,132.854950,0.000000
64.752612,122.955567,0.000000,66.406359,133.186406,0.000000
63.765522,123.171687,0.000000,65.318398,133.445532,0.000000
62.761149,123.281038,0.000000,64.216118,133.633384,0.000000
61.750972,123.306214,0.000000,63.104614,133.754858,0.000000
60.740650,123.272300,0.000000,61.988189,133.818818,0.000000
59.731999,123.203826,0.000000,60.870060,133.834835,0.000000
58.724410,123.123871,0.000000,59.751885,133.812660,0.000000
57.716722,123.044444,0.000000,58.634678,133.761941,0.000000
56.708916,122.968317,0.000000,57.518477,133.692143,0.000000
55.700624,122.897948,0.000000,56.402930,133.612209,0.000000
54.691754,122.835800,0.000000,55.287865,133.527423,0.000000
53.682406,122.784198,0.000000,54.172841,133.441024,0.000000
52.672422,122.741362,0.000000,53.057736,133.356275,0.000000
51.662490,122.700251,0.000000,51.942265,133.276432,0.000000
50.652773,122.653492,0.000000,50.826217,133.204477,0.000000
49.643716,122.593716,0.000000,49.709786,133.139332,0.000000
48.636179,122.513540,0.000000,48.593167,133.076799,0.000000
47.630880,122.408462,0.000000,47.476663,133.012617,0.000000
46.628299,122.280291,0.000000,46.360509,132.942527,0.000000
45.628525,122.131657,0.000000,45.245047,132.862273,0.000000
44.631554,121.965204,0.000000,44.130725,132.767610,0.000000
43.637237,121.783571,0.000000,43.018159,132.654309,0.000000
42.645286,121.589370,0.000000,41.908160,132.518187,0.000000
41.655340,121.385194,0.000000,40.801823,132.355153,0.000000
40.666981,121.173481,0.000000,39.700578,132.157642,0.000000
39.679993,120.955481,0.000000,38.615647,131.886552,0.000000
38.694272,120.731820,0.000000,37.573533,131.484786,0.000000
37.709706,120.503116,0.000000,36.620777,130.903040,0.000000
36.726182,120.269986,0.000000,35.764923,130.180222,0.000000
35.743565,120.033044,0.000000,34.872912,129.507189,0.000000
34.761728,119.792903,0.000000,33.893080,128.969590,0.000000
33.780524,119.550173,0.000000,32.864108,128.532666,0.000000
32.799814,119.305466,0.000000,31.804335,128.176865,0.000000
31.819446,119.059387,0.000000,30.724670,127.884337,0.000000
30.839270,118.812545,0.000000,29.634276,127.636782,0.000000
29.859136,118.565543,0.000000,28.537813,127.415547,0.000000
28.878947,118.318751,0.000000,27.439732,127.202617,0.000000
27.898693,118.072225,0.000000,26.343162,126.983876,0.000000
26.918362,117.825997,0.000000,25.247895,126.757292,0.000000
25.937951,117.580100,0.000000,24.154358,126.523535,0.000000
24.957446,117.334564,0.000000,23.062117,126.283120,0.000000
23.976846,117.089421,0.000000,21.971306,126.036704,0.000000
22.996137,116.844704,0.000000,20.881690,125.784879,0.000000
22.015316,116.600443,0.000000,19.793195,125.528288,0.000000
21.034372,116.356672,0.000000,18.705696,125.267573,0.000000
20.053300,116.113422,0.000000,17.619002,125.003338,0.000000
19.072090,115.870724,0.000000,16.533136,124.735778,0.000000
18.090736,115.628611,0.000000,15.448124,124.464699,0.000000
17.109230,115.387114,0.000000,14.364053,124.189910,0.000000
16.127565,115.146267,0.000000,13.280981,123.911211,0.000000
15.145733,114.906099,0.000000,12.198972,123.628402,0.000000
14.163727,114.666644,0.000000,11.117589,123.342954,0.000000
13.181540,114.427934,0.000000,10.034090,123.065919,0.000000
12.199164,114.190000,0.000000,8.944937,122.811829,0.000000
11.216593,113.952875,0.000000,7.847801,122.595765,0.000000
10.233820,113.716590,0.000000,6.741538,122.433184,0.000000
9.250837,113.481178,0.000000,5.627445,122.336324,0.000000
8.267400,113.247457,0.000000,4.509684,122.305610,0.000000
7.280408,113.029731,0.000000,3.391819,122.338805,0.000000
6.285248,112.853771,0.000000,2.277631,122.433714,0.000000
5.280385,112.745009,0.000000,1.170033,122.588298,0.000000
4.270479,112.707918,0.000000,0.072066,122.800674,0.000000
